time,PH_Sensor,ORP_Sensor,CT_Sensor,TDS_Sensor,NH_sensor,COD_Sensor,DO_Sensor,BOD_Sensor,TR_Sensor,
2024-10-28 22:11:04.717	,34.528,0.972,,25.786,3766.2,,,557.301,27.938
2024-10-28 23:11:04.717	,29.248,0.972,27.491,25.252,6247.9,,0.036,559.472,
2024-10-29 00:11:04.717	,13.408,0.972,27.022,,3023.6,,,559.099,26.938
2024-10-29 01:11:04.717	,63.104,0.972,26.662,24.424,,,,556.311,26.625
2024-10-29 07:48:34.051	,17.760,0.972,25.497,23.267,2234.5,,0.117,562.032,
2024-10-29 08:48:34.051	,,,,,,,,,
2024-10-29 10:38:04.315	,,,,,,,,,
2024-10-29 11:38:04.315	,,,,,,,,,
2024-10-29 12:38:04.315	,,,,,,,,,
2024-10-29 13:38:04.315	,,,,,,,,,
2024-10-29 14:38:04.315	,,,,,,,,,
2024-10-29 15:38:04.315	,,,,,,,,,
2024-10-29 17:16:50.514	,,,,,,,,,
2024-10-29 18:16:50.514	,,,,,,,,,
2024-10-29 19:16:50.514	,,,,,,,,,
2024-10-29 20:16:50.514	,,,,,,,,,
2024-10-30 08:04:55.951	,,,,,,,,,
2024-10-30 09:04:55.951	,,,,,,,,,
2024-10-30 10:04:55.951	,,,,,,,,,
2024-10-30 11:04:55.951	,,,,,,,,,
2024-10-30 12:04:55.951	,,,,,,,,,
2024-10-30 13:04:55.951	,,,,,,,,,
2024-10-30 14:04:55.951	,,,,,,,,,
2024-10-30 15:04:55.951	,,,,,,,,,
2024-10-30 16:04:55.951	,,,,,,,,,
2024-10-30 17:04:55.951	,,,,,,,,,
2024-10-30 18:04:55.951	,,,,,,,,,
2024-10-30 19:04:55.951	,,,,,,,,,
2024-10-30 20:04:55.951	,,,,,,,,,
2024-10-31 09:54:47.590	,0.720,0.972,26.616,24.378,97.3,,0.416,562.676,26.500
2024-10-31 10:54:47.590	,36.096,0.972,27.499,25.254,4315.7,,0.435,561.781,27.312
2024-10-31 11:54:47.590	,25.920,0.972,,26.205,1865.9,,0.489,552.849,28.188
2024-10-31 12:54:47.590	,11.104,0.972,29.233,26.982,2252.8,,0.145,550.253,28.875
2024-10-31 13:54:47.590	,0.864,0.972,29.359,27.107,4171.2,,0.307,557.711,29.000
2024-10-31 14:54:47.590	,0.640,0.972,29.750,27.495,4163.8,,0.315,566.926,29.312
2024-10-31 15:54:47.590	,38.320,0.972,30.041,27.799,4462.3,,0.317,574.818,29.625
2024-10-31 16:54:47.590	,26.112,0.972,30.129,27.853,2013.8,,0.359,579.067,29.688
2024-10-31 17:54:47.590	,26.112,0.972,30.154,27.899,1618.8,,0.233,562.457,29.688
2024-10-31 18:54:47.590	,17.408,0.972,30.132,27.877,1722.3,,0.268,577.081,29.688
